Item,Description,Labor In Minutes,,
AP13J3K,,,,
REPAIR-ACER-CB-C740-TRACKPAD,Trackpad Repair,30,,
56.EF2N7.SV1,,,,
 C740-TOUCHPAD ,,,,
 740-TOUCHPAD,,,,
56.EF2N7.001 ,,,,
REPAIR-ACER-CB-C740-USB-BOARD,I/O Board Repair,15,,
DA0ZHNTHAD0,,,,
REPAIR-ACER-CB-C740-FAN,Fan Repair,30,,
60.EF2N7.004,,,,
REPAIR-ACER-CB-C740-SSD,SSD Repair,30,,
KN.16G07.010,,,,
REPAIR-ACER-CB-C740-SPEAKERS,Speaker Repair,15,,
23.SHEN7.001,,,,
3VZHNSATN30 ,,,,
REPAIR-ACER-CB-C40-WIFI-SOLDER,Wifi Solder,30,,
N/A,,,,
REPAIR-ACER-CB-C740-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB5-311-DISPLAY-ASSEMBLY,Full Unit Repair for Acer CB5-311,,,
ACER-CB5-311-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB-CB5-311-LCD,LCD Repair,15,,
  B133HTN01.1-HW:1A/FW:1,,,,
 B133HTN01.1-HW:0A/FW:1,,,,
 B133HTN01.1-HW:2A/FW:1,,,,
KL.13305.021 ,,,,
  N133BGE-EAB-REV.C1 ,,,,
M133NWN1.R3-HW:1.2-FW:0.0,,,,
 M133NWN1.R3-HW:4.C-FW:0.1,,,,
REPAIR-ACER-CB-CB5-311-TOPCOVER,Topcover Repair,30,,
60.MPRN2.014,,,,
AP176000200 ,,,,
REPAIR-ACER-CB-CB5-311-BEZEL,Bezel Repair,15,,
60.MPRN2.015,,,,
AP176000700 ,,,,
REPAIR-ACER-CB-CB5-311-LVDS,LVDS Cable Repair,30,,
  DC020021200,,,,
 50.MPRN2.006,,,,
REPAIR-ACER-CB-CB5-311-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB-CB5-311-HINGESET,Hinge Repair,30,,
33.MPRN2.002,,,,
REPAIR-ACER-CB-CB5-311-CAMERA,Webcam Repair,15,,
57.MPRN2.001,,,,
ACER-CB5-311-TOPCASE-ASSEMBLY,Acer CB5-311 Topcase Assembly,,,
REPAIR-ACER-CB-CB5-311-PALMREST,Palmrest Repair,30,,
60.MPRN2.001,,,,
REPAIR-ACER-CB-CB5-311-TRACKPAD,Trackpad Repair,30,,
56.MPRN2.001,,,,
REPAIR-ACER-CB-CB5-311-DC-JACK,DC Jack Repair,15,,
50.MPRN2.003,,,,
DC30100TB00,,,,
REPAIR-ACER-CB-CB5-311-BATTERY,Battery Repair,30,,
,,,,
,,,,
,,,,
REPAIR-ACER-CB-CB5-311-HPJ-BOARD,I/O Board Repair,15,,
55.MPRN2.001,,,,
REPAIR-ACER-CB-CB5-311-BOTTOM-COVER,Bottom Cover Repair,15,,
60.MPRN2.013,,,,
REPAIR-ACER-CB-CB5-311-SPEAKER-L,Left Speaker Repair,15,,
23.MPRN2.002 ,,,,
REPAIR-ACER-CB-CB5-311-SPEAKER-R,Right Speaker Repair,15,,
23.MPRN2.003,,,,
REPAIR-ACER-CB-CB5-311-HEATSINK,Heatsink Repair,15,,
AT1760020A0,,,,
REPAIR-ACER-CB-CB5-311-WIFI-SOLDER,Wifi Solder,30,,
N/A,,,,
REPAIR-ACER-CB-CB5-311-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB-CB5-311-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-ACER-CB-CB5-311-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-CB-CB5-311-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-CB-CB5-311-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-CB-CB5-311-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
,,,,
REPAIR-ACER-R751T-DISPLAY-ASSEMBLY,Full Unit Repair for Acer R751T,,,
ACER-R751T-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB-R751T-TOUCHSCREEN,Touchscreen Repair,15,,
6M.GPZN7.001-NOFRAME/PCB,,,,
REPAIR-ACER-CB-R751T-MICROPHONE,,15,,
23.GHPN7.002,,,,
REPAIR-ACER-CB-R751T-LVDS,,30,,
50.GPZN7.007,,,,
REPAIR-ACER-CB-R751T-HINGE-R,,30,,
33.GPZN7.002,,,,
REPAIR-ACER-CB-R751T-HINGE-L,,30,,
33.GPZN7.001,,,,
REPAIR-ACER-CB-R751T-TOPCOVER,,30,,
60.GPZN7.001,,,,
REPAIR-ACER-CB-R751T-FRONT-CAMERA,,15,,
KS.0HD05.002,,,,
REPAIR-ACER-CB-R751T-REAR-CAMERA,,15,,
KS.05M05.001,,,,
ACER-R751T-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB-R751T-PALMREST,,30,,
6B.GPZN7.019,,,,
REPAIR-ACER-CB-R751T-TRACKPAD,,15,,
56.GPZN7.001,,,,
REPAIR-ACER-CB-R751T-BATTERY,,30,,
KT.00204.006,,,,
REPAIR-ACER-CB-R751T-USB-BOARD,,15,,
55.GPZN7.001,,,,
REPAIR-ACER-CB-R751T-BOTTOM-COVER,,15,,
60.GPZN7.002,,,,
REPAIR-ACER-CB-R751T-MOTHERBOARD,,30,,
N/A,,,,
REPAIR-ACER-CB-R751T-HPJ-REMOVAL,,15,,
N/A,,,,
REPAIR-ACER-CB-R751T-CP-REMOVAL,,15,,
N/A,,,,
REPAIR-ACER-CB-R751T-OS-RESTORE,,30,,
N/A,,,,
,,,,
REPAIR-ACER-C810-DISPLAY-ASSEMBLY,Full Unit Repair for Acer C810,,,
ACER-C810-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB-C810-LCD,LCD Repair,15,,
  B133HTN01.1-HW:1A/FW:1,,,,
 B133HTN01.1-HW:0A/FW:1,,,,
 B133HTN01.1-HW:2A/FW:1,,,,
KL.13305.021 ,,,,
  N133BGE-EAB-REV.C1 ,,,,
M133NWN1.R3-HW:1.2-FW:0.0,,,,
 M133NWN1.R3-HW:4.C-FW:0.1,,,,
REPAIR-ACER-CB-C810-TOPCOVER,Topcover Repair,30,,
60.G14N2.002,,,,
REPAIR-ACER-CB-C810-BEZEL,Bezel Repair,15,,
60.G14N2.003,,,,
REPAIR-ACER-CB-C810-LVDS,LVDS Cable Repair,30,,
50.MPRN2.006,,,,
DC020021200,,,,
REPAIR-ACER-CB-C810-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB-C810-HINGESET,Hinge Repair,30,,
33.MPRN2.002,,,,
REPAIR-ACER-CB-C810-MICROPHONE,Microphone Repair,15,,
23.MPRN2.001,,,,
REPAIR-ACER-CB-C810-CAMERA,Webcam Repair,15,,
57.MPRN2.001,,,,
ACER-C810-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB-C810-PALMREST,Palmrest Repair,30,,
6B.G14N2.001,,,,
REPAIR-ACER-CB-C810-TRACKPAD,Trackpad Repair,30,,
56.G14N2.001,,,,
REPAIR-ACER-CB-C810-DC-JACK,DC Jack Repair,15,,
50.MPRN2.003,,,,
DC30100TB00,,,,
REPAIR-ACER-CB-C810-BATTERY,Battery Repair,30,,
AC14B8K,,,,
KT.0040G.002,,,,
KT.0040G.004,,,,
REPAIR-ACER-CB-C810-HPJ-BOARD,Headphone Jack Board Repair,15,,
55.MPRN2.001,,,,
REPAIR-ACER-CB-C810-BOTTOM-COVER,Bottom Cover Repair,15,,
60.G14N2.001,,,,
REPAIR-ACER-CB-C810-SPEAKER-L,Left Speaker Repair,15,,
23.MPRN2.002 ,,,,
REPAIR-ACER-CB-C810-SPEAKER-R,Right Speaker Repair,15,,
23.MPRN2.003,,,,
REPAIR-ACER-CB-C810-TRACKPAD-CABLE,Trackpad Cable Repair,15,,
50.MPRN2.001,,,,
,,,,
REPAIR-ACER-C738T-DISPLAY-ASSEMBLY,Full Unit Repair for Acer C738T,,,
ACER-C738T-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB-C738T-LCD-DIGI,Touchscreen Repair,15,,
6M.G55N7.001,,,,
6M.G55N7.002,,,,
REPAIR-ACER-CB-C738T-TOPCOVER,Topcover Repair,30,,
60.G55N7.001,,,,
REPAIR-ACER-CB-C738T-DIGI-SENSOR,Digitizer Board Repair,15,,
55.G55N7.003,,,,
REPAIR-ACER-CB-C738T-LVDS,LVDS Cable Repair,30,,
50.G55N7.006,,,,
REPAIR-ACER-CB-C728T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB-C738T-MICROPHONE,Microphone Repair,15,,
23.G55N7.002,,,,
REPAIR-ACER-CB-C738T-HINGE-L,Left Hinge Repair,30,,
33.G55N7.002,,,,
REPAIR-ACER-CB-C738T-HINGE-R,Right Hinge Repair,30,,
33.G55N7.001,,,,
REPAIR-ACER-CB-C738T-CAMERA,Webcam Repair,15,,
NC.21411.03T,,,,
REPAIR-ACER-CB-C738T-WIFI-ANTENNA,Wifi Antenna Repair,30,,
50.G55N7.001,,,,
ACER-C738T-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB-C738T-PALMREST,Palmrest Repair,30,,
6B.G55N7.016,,,,
REPAIR-ACER-CB-C738T-TRACKPAD,Trackpad Repair,15,,
56.G55N7.001,,,,
REPAIR-ACER-CB-C738T-BOTTOMCASE,Bottomcase Repair,15,,
60.G55N7.002,,,,
REPAIR-ACER-CB-C738T-SPEAKERSET,Speaker Repair,15,,
23.G55N7.001,,,,
REPAIR-ACER-CB-C738T-WIFI-CARD,Wifi Card Repair,15,,
KI.STN01.008,,,,
REPAIR-ACER-CB-C738T-IO-BOARD,I/O Board Repair,15,,
55.G55N7.002,,,,
REPAIR-ACER-CB-C738T-BATTERY,Battery Repair,30,,
