Item,Description,Labor In Minutes,,
REPAIR-LENOVO-300EG2-CABLE-RESEAT,Cable Reseat,15,,DO NOT PUT ON WEBSITE
N/A,,,,
REPAIR-LENOVO-300EG2-MBSWAP,Motherboard Swap,45,,DO NOT PUT ON WEBSITE
5B20T95190,,,,
5B20T95190-EXCHANGE,,,,
,,,,
REPAIR-LENOVO-500E,Full Unit Repair for Lenovo 500E,,,
LENOVO-500E-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-500E-TOUCHSCREEN,Touchscreen Repair,30,,
5D10Q79736,,,,
REPAIR-LENOVO-500E-CAMERA-MAIN,Webcam Repair,15,,
5C20Q79760,,,,
REPAIR-LENOVO-500E-HINGECOVER,Hingecover Repair,15,,
5CB0Q79752,,,,
REPAIR-LENOVO-500E-LVDS,LVDS Cable Repair,45,,
5C10Q79748,,,,
REPAIR-LENOVO-500E-HINGESET,Hinge Repair,45,,
5H50Q79755,,,,
REPAIR-LENOVO-500E-TOPCOVER,Topcover Repair,45,,
5CB0Q79742,,,,
REPAIR-LENOVO-500E-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
LENOVO-500E-TOPCASE-ASSEMBLY,Topcover Assembly,,,
REPAIR-LENOVO-500E-PALMREST,Palmrest Repair,45,,
5CB0Q79737,,,,
REPAIR-LENOVO-500E-BOTTOMCOVER,Bottom Cover Repair,15,,
5CB0Q79740,,,,
REPAIR-LENOVO-500E-CAMERA-LOWER,Webcam Repair,30,,
5C20Q79738,,,,
REPAIR-LENOVO-500E-IO-BOARD,I/O Board Repair,30,,
5C50Q79756,,,,
REPAIR-LENOVO-500E-BATTERY,Battery Repair,30,,
5B10Q13163,,,,
REPAIR-LENOVO-500E-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-500E-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-LENOVO-500E-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
